ticker,cusip,date,shares_outstanding,nav,net_assets,closing_price,premium_discount_pct,recorded_at
RSP,46137V357,2026-07-29,452802663.0,215.750042,97692193636.34,215.73,0.01852,2026-07-31 01:46:58.601086
RZV,46137V167,2026-07-29,1990040.0,149.474208,297459653.55,149.2882,0.017255,2026-07-31 01:46:59.435159
