ticker,period,date,premium_discount_pct
RSP,previousYear,2025-01-01,0.040013
RSP,previousYear,2025-01-02,-0.012023
RSP,previousYear,2025-01-03,-0.007929
RSP,previousYear,2025-01-04,-0.007929
RSP,previousYear,2025-01-05,-0.007929
RSP,previousYear,2025-01-06,0.007907
RSP,previousYear,2025-01-07,-0.0381
RSP,previousYear,2025-01-08,-0.056199
RSP,previousYear,2025-01-09,-0.056199
RSP,previousYear,2025-01-10,0.009079
RSP,previousYear,2025-01-11,0.009079
RSP,previousYear,2025-01-12,0.009079
RSP,previousYear,2025-01-13,-0.01229
RSP,previousYear,2025-01-14,-0.022603
RSP,previousYear,2025-01-15,0.027503
RSP,previousYear,2025-01-16,0.008293
RSP,previousYear,2025-01-17,0.014468
RSP,previousYear,2025-01-18,0.014468
RSP,previousYear,2025-01-19,0.014468
RSP,previousYear,2025-01-20,0.014468
RSP,previousYear,2025-01-21,0.006655
RSP,previousYear,2025-01-22,0.006135
RSP,previousYear,2025-01-23,-0.034818
RSP,previousYear,2025-01-24,-0.017882
RSP,previousYear,2025-01-25,-0.017882
RSP,previousYear,2025-01-26,-0.017882
RSP,previousYear,2025-01-27,-0.021549
RSP,previousYear,2025-01-28,0.024212
RSP,previousYear,2025-01-29,0.011938
RSP,previousYear,2025-01-30,-0.023381
RSP,previousYear,2025-01-31,-0.019871
RSP,previousYear,2025-02-01,-0.019871
RSP,previousYear,2025-02-02,-0.019871
RSP,previousYear,2025-02-03,0.050224
RSP,previousYear,2025-02-04,-0.022071
RSP,previousYear,2025-02-05,0.004532
RSP,previousYear,2025-02-06,-0.037539
RSP,previousYear,2025-02-07,-0.004035
RSP,previousYear,2025-02-08,-0.004035
RSP,previousYear,2025-02-09,-0.004035
RSP,previousYear,2025-02-10,-0.020056
RSP,previousYear,2025-02-11,-0.005319
RSP,previousYear,2025-02-12,-0.008528
RSP,previousYear,2025-02-13,0.047172
RSP,previousYear,2025-02-14,0.030021
RSP,previousYear,2025-02-15,0.030021
RSP,previousYear,2025-02-16,0.030021
RSP,previousYear,2025-02-17,0.030021
RSP,previousYear,2025-02-18,-0.031545
RSP,previousYear,2025-02-19,0.010127
RSP,previousYear,2025-02-20,0.039393
RSP,previousYear,2025-02-21,0.012729
RSP,previousYear,2025-02-22,0.012729
RSP,previousYear,2025-02-23,0.012729
RSP,previousYear,2025-02-24,0.003579
RSP,previousYear,2025-02-25,0.043563
RSP,previousYear,2025-02-26,0.021162
RSP,previousYear,2025-02-27,0.009236
RSP,previousYear,2025-02-28,0.020403
RSP,previousYear,2025-03-01,0.020403
RSP,previousYear,2025-03-02,0.020403
RSP,previousYear,2025-03-03,0.031615
RSP,previousYear,2025-03-04,0.002643
RSP,previousYear,2025-03-05,0.050201
RSP,previousYear,2025-03-06,-0.027393
RSP,previousYear,2025-03-07,0.041774
RSP,previousYear,2025-03-08,0.041774
RSP,previousYear,2025-03-09,0.041774
RSP,previousYear,2025-03-10,0.009528
RSP,previousYear,2025-03-11,-0.006139
RSP,previousYear,2025-03-12,-0.009723
RSP,previousYear,2025-03-13,0.024415
RSP,previousYear,2025-03-14,-0.042104
RSP,previousYear,2025-03-15,-0.042104
RSP,previousYear,2025-03-16,-0.042104
RSP,previousYear,2025-03-17,0.029175
RSP,previousYear,2025-03-18,-0.024778
RSP,previousYear,2025-03-19,0.026086
RSP,previousYear,2025-03-20,-0.026166
RSP,previousYear,2025-03-21,-0.003234
RSP,previousYear,2025-03-22,-0.003234
